id;nama;link
1;Aegiochusmon;https://wikimon.net/images/thumb/b/bd/Aegiochusmon.jpg/120px-Aegiochusmon.jpg
2;Aegiochusmon: Blue;https://wikimon.net/images/thumb/b/bb/Aegiochusmon_blue2.jpg/120px-Aegiochusmon_blue2.jpg
3;Aegiochusmon: Dark;https://wikimon.net/images/thumb/7/7a/Aegiochusmon_dark.jpg/120px-Aegiochusmon_dark.jpg
4;Aegiochusmon: Green;https://wikimon.net/images/thumb/d/d4/Aegiochusmon_green.jpg/120px-Aegiochusmon_green.jpg
5;Aegiochusmon: Holy;https://wikimon.net/images/thumb/0/0b/Aegiochusmon_holly.jpg/120px-Aegiochusmon_holly.jpg
6;Aegiomon;https://wikimon.net/images/thumb/9/98/Aegiomon2.jpg/120px-Aegiomon2.jpg
7;Aegisdramon;https://wikimon.net/images/thumb/8/83/Ageisdramon.jpg/120px-Ageisdramon.jpg
8;Aero V-dramon;https://wikimon.net/images/thumb/5/54/Aerovdramon.jpg/120px-Aerovdramon.jpg
9;Agnimon;https://wikimon.net/images/thumb/d/dc/Agnimon3.jpg/120px-Agnimon3.jpg
10;Agumon;https://wikimon.net/images/thumb/7/72/Agumon.jpg/120px-Agumon.jpg
11;Agumon X-Antibody;https://wikimon.net/images/thumb/3/30/Agumonx2.jpg/120px-Agumonx2.jpg
12;Agumon (2006 Anime Version);https://wikimon.net/images/thumb/8/80/Agumon2.jpg/120px-Agumon2.jpg
13;Agumon (Black);https://wikimon.net/images/thumb/9/91/Agumon_black.jpg/120px-Agumon_black.jpg
14;Agumon (Black) (2006 Anime Version);https://wikimon.net/images/thumb/9/97/Agumon_black_2006.jpg/120px-Agumon_black_2006.jpg
15;Agumon Burst Mode;https://wikimon.net/images/thumb/2/2a/Agumon_burst.jpg/120px-Agumon_burst.jpg
16;Agumon Hakase;https://wikimon.net/images/thumb/1/1a/Agumon_hakase.jpg/120px-Agumon_hakase.jpg
17;Aircraft Carrier Whamon;https://wikimon.net/images/thumb/4/47/Aircraft_carrier_whamon.png/120px-Aircraft_carrier_whamon.png
18;Airdramon;https://wikimon.net/images/thumb/6/63/Airdramon.jpg/120px-Airdramon.jpg
19;Akatorimon;https://wikimon.net/images/thumb/d/df/Akatorimon.jpg/120px-Akatorimon.jpg
20;Aldamon;https://wikimon.net/images/thumb/3/3b/Aldamon.jpg/120px-Aldamon.jpg
21;Algomon;https://wikimon.net/images/thumb/d/d6/Algomon.jpg/120px-Algomon.jpg
22;Algomon Ultimate;https://wikimon.net/images/thumb/3/36/Algomon_ultimate.jpg/120px-Algomon_ultimate.jpg
23;Allomon;https://wikimon.net/images/thumb/5/5c/Allomon.jpg/120px-Allomon.jpg
24;Allomon X-Antibody;https://wikimon.net/images/thumb/7/77/Allomonx.jpg/120px-Allomonx.jpg
25;Alphamon;https://wikimon.net/images/thumb/2/29/Alphamon.jpg/120px-Alphamon.jpg
26;Alphamon Ouryuken;https://wikimon.net/images/thumb/3/39/Alphamon_ouryuken.jpg/120px-Alphamon_ouryuken.jpg
27;Alraumon;https://wikimon.net/images/thumb/3/3e/Alraumon.jpg/120px-Alraumon.jpg
28;Amon;https://wikimon.net/images/thumb/f/f0/Amon.jpg/120px-Amon.jpg
29;Ancient Beatmon;https://wikimon.net/images/thumb/d/da/Ancientbeatmon.jpg/120px-Ancientbeatmon.jpg
30;Ancient Garurumon;https://wikimon.net/images/thumb/b/be/Ancientgarurumon.jpg/120px-Ancientgarurumon.jpg
31;Ancient Greymon;https://wikimon.net/images/thumb/4/4e/Ancientgreymon.jpg/120px-Ancientgreymon.jpg
32;Ancient Irismon;https://wikimon.net/images/thumb/a/a7/Ancientirismon.jpg/120px-Ancientirismon.jpg
33;Ancient Megatheriumon;https://wikimon.net/images/thumb/4/4e/Ancientmegatheriumon.jpg/120px-Ancientmegatheriumon.jpg
34;Ancient Mermaimon;https://wikimon.net/images/thumb/e/ec/Ancientmermaimon.jpg/120px-Ancientmermaimon.jpg
35;Ancient Sphinxmon;https://wikimon.net/images/thumb/8/84/Ancientsphinxmon.jpg/120px-Ancientsphinxmon.jpg
36;Ancient Troiamon;https://wikimon.net/images/thumb/6/61/Ancienttroiamon.jpg/120px-Ancienttroiamon.jpg
37;Ancient Volcamon;https://wikimon.net/images/thumb/c/c5/Ancientvolcamon.jpg/120px-Ancientvolcamon.jpg
38;Ancient Wisemon;https://wikimon.net/images/thumb/3/3c/Ancientwisemon.jpg/120px-Ancientwisemon.jpg
39;Andiramon;https://wikimon.net/images/thumb/4/41/Andiramon.jpg/120px-Andiramon.jpg
40;Andiramon (Deva);https://wikimon.net/images/thumb/b/b8/Andiramon_data.jpg/120px-Andiramon_data.jpg
41;Andromon;https://wikimon.net/images/thumb/1/10/Andromon.jpg/120px-Andromon.jpg
42;Angemon;https://wikimon.net/images/thumb/1/1b/Angemon.jpg/120px-Angemon.jpg
43;Angewomon;https://wikimon.net/images/thumb/5/5a/Angewomon.jpg/120px-Angewomon.jpg
44;Ankylomon;https://wikimon.net/images/thumb/e/e0/Ankylomon2.jpg/120px-Ankylomon2.jpg
45;Anomalocarimon;https://wikimon.net/images/thumb/3/33/Anomalocarimon.jpg/120px-Anomalocarimon.jpg
46;Anomalocarimon X-Antibody;https://wikimon.net/images/thumb/9/96/Anomalocarimonx.jpg/120px-Anomalocarimonx.jpg
47;Anubimon;https://wikimon.net/images/thumb/c/c3/Anubimon.jpg/120px-Anubimon.jpg
48;Apocalymon;https://wikimon.net/images/thumb/4/48/Apocalymon3.jpg/120px-Apocalymon3.jpg
49;Apollomon;https://wikimon.net/images/thumb/d/d7/Apollomon.jpg/120px-Apollomon.jpg
50;Apollomon Darkness Mode;https://wikimon.net/images/thumb/9/96/Apollomon_darkness.jpg/120px-Apollomon_darkness.jpg
51;Apollomon Whispered;https://wikimon.net/images/thumb/5/54/Apollomon_whispered.png/120px-Apollomon_whispered.png
52;Aquilamon;https://wikimon.net/images/thumb/b/b1/Aquilamon2.jpg/120px-Aquilamon2.jpg
53;Arbormon;https://wikimon.net/images/thumb/8/86/Arbormon.jpg/120px-Arbormon.jpg
54;Archelomon;https://wikimon.net/images/thumb/a/ad/Archelomon.jpg/120px-Archelomon.jpg
55;Archnemon;https://wikimon.net/images/thumb/6/6c/Archnemon.jpg/120px-Archnemon.jpg
56;Arkadimon Baby;https://wikimon.net/images/thumb/0/07/Arkadimon_baby2.jpeg/120px-Arkadimon_baby2.jpeg
57;Arkadimon Child;https://wikimon.net/images/thumb/0/09/Arkadimon_child.jpg/120px-Arkadimon_child.jpg
58;Arkadimon Adult;https://wikimon.net/images/thumb/b/b6/Arkadimon_adult.jpg/120px-Arkadimon_adult.jpg
59;Arkadimon Perfect;https://wikimon.net/images/thumb/a/ae/Arkadimon_perfect.jpg/120px-Arkadimon_perfect.jpg
60;Arkadimon Ultimate;https://wikimon.net/images/thumb/b/b9/Arkadimon_ultimate2.jpg/120px-Arkadimon_ultimate2.jpg
61;Arkadimon Super Ultimate;https://wikimon.net/images/thumb/e/ed/Arkadimon_superultimate.jpg/120px-Arkadimon_superultimate.jpg
